Id_unit,Name
1,Staff development and training
2,Job descriptions and job satisfaction
3,Getting the right job
4,Making contact
5,Breaking into the market
6,Launching a product
7,A stand at a trade fair
8,Being persuasive
9,Starting a business
10,Financing a start-up
11,Expanding into Europe
12,Presenting your business idea
13,Arranging business travel
14,Business conference
15,Business meetings
16,Spending the sales budget
17,Social media and business
18,Business and the environment
19,A staff survey
20,Offshoring and outsourcing
21,Customer satisfaction and loyalty
22,Communication
23,Corresponding with customers
24,Business across cultures
